Temperature

16:12:18.227 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:14:07.670 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:09.688 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:11.747 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:13.764 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:15.793 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:17.795 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:19.826 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:21.874 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:23.887 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:25.903 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:27.932 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:29.968 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:32.016 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:34.031 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:36.039 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:38.086 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:40.100 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:42.153 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:44.159 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:46.204 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:48.210 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:50.234 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:52.266 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:54.314 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:56.306 -> Humidity: 37.00 %, Temp: 25.70 Celsius
16:14:58.360 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:15:00.367 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:15:02.392 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:04.422 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:06.455 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:08.500 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:10.516 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:12.546 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:14.573 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:16.596 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:18.629 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:20.642 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:22.693 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:24.694 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:26.712 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:28.742 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:30.793 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:32.793 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:34.821 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:15:36.852 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:38.889 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:40.933 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:42.951 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:44.988 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:46.990 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:49.019 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:15:51.056 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:53.081 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:55.090 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:57.117 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:59.170 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:16:01.199 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:16:03.212 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:16:05.225 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:07.250 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:09.282 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:11.320 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:13.365 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:15.392 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:17.398 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:19.420 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:21.446 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:23.484 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:25.502 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:27.523 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:29.582 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:31.592 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:33.626 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:35.647 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:37.673 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:39.718 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:41.728 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:43.749 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:45.789 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:47.806 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:49.832 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:51.849 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:53.880 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:55.932 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:57.952 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:59.974 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:01.997 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:04.042 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:06.054 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:08.088 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:10.109 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:12.139 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:14.171 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:16.179 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:18.213 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:20.253 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:22.276 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:24.286 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:26.315 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:28.360 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:30.388 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:32.391 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:34.424 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:36.437 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:38.484 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:40.507 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:42.526 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:44.566 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:46.584 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:48.613 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:50.636 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:52.671 -> Humidity: 37.00 %, Temp: 25.40 Celsius
